doi,author,title,year,abstract,journal
 ,Jasna Novak Milić ,"

				Učenje glagolskih oblika u hrvatskome kao stranome jeziku			
", , ,SUVREMENA LINGVISTIKA
 ,Dubravka Sesar ,"

				Kašubi govore kašupski, ali koga to još osim njih zanima?			
", , ,SUVREMENA LINGVISTIKA
 ,Diana Stolac,"

				Zapovjed brodovnih obava Bože Babića iz 1878. godine			
", , ,SUVREMENA LINGVISTIKA
 ,Elena Stojanova ,"

				Alternacije jata u supstantivnoj paradigmatici bugarskoga i hrvatskoga jezika (morfonološki aspekt)			
", , ,SUVREMENA LINGVISTIKA
 ,"Branimir Belaj , Goran Tanacković Faletar ","

				Protučinjenične uvjetne rečenice, mentalni prostori i metonimija u kontekstu teorije konceptualne integracije			
", ,"Ovaj se članak bavi semantičkom analizom protučinjeničnih iskaza hrvatskoga jezika u kontekstu teorije konceptualne integracije kao teorije koja svojim metodološkim aparatom najelegantnije i najtemeljitije objašnjava njihovo značenje i njihovu logiku. Također se, a na korpusu protučinjeničnih iskaza hrvatskoga jezika, u svjetlu trenutnosti procesa konceptualne integracije kritički pristupa kognitivno–konceptualnom statusu četiriju vrsta mentalnih pro stora i njihovih elemenata: ulaznih prostora, generičkoga prostora te projekcijskoga prostora, a u skladu s razlikama među njima dijele se na defokusirane, istaknute i fokalne mentalne prostore. U kontekstu analize protučinjeničnih iskaza raspravlja se i o mjestu i načinu interpretacije najčešće metonimijskoga tipa CJELINA ZA DIO i u nekim se slučajevima takvih metonimija predlaže uvođenje petoga mentalnog prostora - predulaznoga prostora.",SUVREMENA LINGVISTIKA
 ,"Claudia Marzi, Marcello Ferro, Emmanuel Keuleers","

				Percepcija tipičnosti u leksikonu: tipičnost oblika riječi, leksička gustoća i morfonotaktička ograničenja			
",2014, ,SUVREMENA LINGVISTIKA
 ,Daniela Katunar,"

				Mateusz–Milan Stanojević, Konceptualna metafora: Temeljni pojmovi, teorijski pristupi i metode Izdanje Srednja Europa; 2013; Zagreb			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,Daniela Katunar,"

				Zagrebački lingvistički krug - Izvješće o radu u akademskoj godini 2013./14.			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,Pavao Tekavčić ,"

				Latinizmi u rječniku Vocabolario del dialetto di Rovigno d'Istria 1992 Antonija i Giovannija Pellizzera (s osvrtom i na neke druge izvore)			
", , ,SUVREMENA LINGVISTIKA
 ,Ranko Matasović,"

				The Possessive and Adjective Phrases in Croatian			
", , ,SUVREMENA LINGVISTIKA
 ,August Kovačec,"

				Znanstveni doprinos profesora Radoslava Katičića na području opće lingvistike u zagrebačkom razdoblju njegova djelovanja. Uz 80. godišnjicu Radoslava Katičića			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,"Hrvoja Heffer , Nada Vajs ","

				Priličnost ili analogija, prenesnica ili metafora, leposlovka ili retorika (Tumačenja retoričko-lingvističkoga nazivlja u kajkavskih leksikografa 18. stoljeća)			
", ,U članku se prikazuje i analizira retoričko-lingvističko nazivlje u dvama najvažnijim kajkavskim leksikografskim ostvarenjima 18. stoljeća: Ivana Belostenca i Andrije Jambrešića. Nastoji se pokazati koliki je njihov udio u razvoju hrvatske jezikoslovne misli i stvaranju hrvatskoga nazivlja kako retoričkog tako i lingvističkog.,SUVREMENA LINGVISTIKA
 ,Anita Skelin Horvat,"

				Robert D. Van Valin, Jr (ur.): Investigations of the Syntax–Semantic– Pragmatic Interface			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,, , ,"
                All                369673
",SUVREMENA LINGVISTIKA
10.22210/suvlin.2021.092.01,"Zdravka Biočina, Iva Bašić","

				Diftonzi u bračkim čakavskim govorima			
",2021,"Diftonzi se u čakavskom narječju pojavljuju najčešće u medijalnome položaju u riječi u različitim
sljedovima vokala u kojima je drugi diftonški vokal jak i obično duži od prvoga. Prema prethodnim
opisima bračkih govora, diftonzi [ie] i [uo] potvrđeni su samo kod govornika iz Bola, Pučišća i Gornjega Humca.",SUVREMENA LINGVISTIKA
 ,Matea Srebačić,"

				Antonio Fábregas i Sergio Scalise: Morphology. From Data to Theories Edinburgh Advanced Textbooks in Linguistics, Edinburgh University Press, Edinburgh, 2012 (209 str.)			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,Miranda Levanat-Peričić ,"

				Glagolski vid i ergativna konstrukcija u hindskome jeziku			
", , ,SUVREMENA LINGVISTIKA
 ,Ida Raffaelli ,"

				Odnos strukturalne semantike prema kognitivnoj			
", , ,SUVREMENA LINGVISTIKA
 ,Mario Brdar ,"

				Kontinuitet topika, metonimija i priložne oznake mjesta: Kognitivno-funkcionalni pristup			
", , ,SUVREMENA LINGVISTIKA
 ,Olga Nikitina,"

				Diskursni indikatori neologizama (na korpusu njemačkih  neologizama iz nultih i desetih godina)			
", ,"sudjeluju u oblikovanju javnog mnijenja. Nasuprot tomu, u fazi u kojoj se uporaba inovacije proširuje u jezičnoj zajednici rabe se posebni indikatori koji naznačuju pojavljivanje inovacije i usmjeravaju ispravnu interpretaciju. U članku se razlikuje između diskursnih indikatora s pragmalingvističkom funkcijom i onih koji su povezani sa sadržajem iskaza. Nužnost diskurzivnog indiciranja ovisi o komunikacijskoj situaciji, o anticipaciji osobe koja diskurs proizvodi, a napose o njezinim procjenama i namjerama. Izostanak diskursnih indikatora može se smatrati znakom dovršena procesa leksikalizacije neologizma i njegove pohrane kao dijela aktivnog leksika jezika.",SUVREMENA LINGVISTIKA
 ,"Dubravko Kučanda , Gabrijela Buljan , Miranda Levanat-Peričić , Ranko Matasović , Marcin M. Bobrowski , Tomislav Frleta , David Mandić , Daliborka Sarić , Vesna Muhvić-Dimanovski , Mate Kapović , August Kovačec , Maja Bratanić , Lucija Miškulin , Anita Skelin Horvat , Gabrijela Buljan, Vlatko Broz , Mislava Bertoša","


						A Contrastive View on Non–Canonical Subjects: Prototype Effects, Semantic Roles and Metonymy					

", ,Miranda Levanat-Peričić ,SUVREMENA LINGVISTIKA
 ,Mislava Bertoša,"

				Jezični varijeteti i nacionalni identiteti. Prilozi proučavanju standardnih jezika utemeljenih na štokavštini (ur. Lada Badurina, Ivo Pranjković i Josip Silić)			
", , ,SUVREMENA LINGVISTIKA
 ,Žarko Muljačić,"

				Günter Holtus / Fernando Sanchez Miret: ""Romanitas"", Filologia Romanica, Romanistica			
", , ,SUVREMENA LINGVISTIKA
 ,,"

				Izvještaj o radu Zagrebačkoga lingvističkog kruga u ak. god. 2004./2005.			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Dubravka Sesar,"

				Zadi san samo obo kamen... O čakavskome prepjevu Jesenjina			
", , ,SUVREMENA LINGVISTIKA
 ,"Mislava Bertoša, Irena Zovko Dinković, , Kristian Novak,  , Ivana Franić, , Zrinka Jelaska, , Ranko Matasović, , Milan Mihaljević, , Vesna Muhvić-Dimanovski, , Velimir Piškorec, , Tatjana Pišković, Ida Raffaelli, Marko Tadić, , Samir Bajrić, Wayles Browne, Hubert Cuykens, Martin Haspelmath, Tracy Holloway King, Roland Marti, Günter Radden, Olivier Soutet, Robert Van Valin, Björn Wiemer, Stefan Zimmer, Marina Grubišić, Matea Filko","

				Časopis uređuju			
", ,"Zrinka Jelaska, Odsjek za kroatistiku, Filozofski fakultet u Zagrebu",SUVREMENA LINGVISTIKA
 ,"Josip Lisac, Velimir Piškorec , Stjepan Babić , Branimir Belaj , Goran Tanacković Faletar , Renata Geld , Miranda Levanat-Peričić , Dora Maček, Nataša Bašić , Mateusz-Milan Stanojević , Anita Skelin Horvat ","


						Malyj dialektologičeskij atlas balkanovskih jazykov					

", ,"

 
			Opširnije:			Interlinguistische Beiträge. Zum Wesen und zur Funktion internationaler Plansprachen		
",SUVREMENA LINGVISTIKA
 ,Amir Kapetanović,"

				Potraga za drevnim spremnicima u starohrvatskom jeziku: tijelo i emocije kao spremnici			
", ,"Uz pomoć kognitivne teorije metafore u članku se iz dijakronijske perspektive analizira poimanje tijela i emocija kao spremnika i dokumentira se zrcaljenje dviju različitih konceptualnih metafora u starohrvatskom i suvremenome standardnom hrvatskom jeziku u kojima se projicira predodžbena shema spremnika (TIJELO JE SPREMNIK ZA EMOCIJE i EMOCIJA JE SPREMNIK). Osim toga, upozorava se na veoma staro poimanje emocija kao tekućina (EMOCIJA JE TEKUćINA U SPREMNIKU) i kako emocija i u srednjovjekovnim i u suvremenim hrvatskim tekstovima može biti supstancija u spremniku i spremnik supstancija. U posljednjem poglavlju samo se naoko udaljavamo od teme jer analizom opisa đavoljega tijela u srednjovjekovnim tekstovima potvrđujemo primjenu predodžbene sheme spremnika i na imaginarna bića. U istraživanju ove teme iskorištena je mogućnost računalnoga pretraživanja tekstova u internetski dostupnom korpusu hrvatskoga jezika (tekstovi 19. i 20. st.) i zasad još javno nedostupnoga računalnoga arhiva starohrvatskih tekstova (zasad ih čine tekstovi nastali u 14. i 15. stoljeću). Ovaj članak prilog je dijakronijskim istraživanjima konceptualnih metafora i pokušaj primjene kognitivne teorije metafore u onim medievističkim istraživanjima koja nastoje razotkriti temeljna poimanjasrednjovjekovnoga čovjeka. Zaključuje se da višestoljetna hrvatska pisana baština čuva tragove vrlo starih (univerzalnih) koncepata, koji su stabilni unatoč izmjenama epoha.",SUVREMENA LINGVISTIKA
 ,"Irena Zovko Dinković , Branimir Belaj , Dubravko Kučanda , Mario Brdar , Robert D. Van Valin , Marko Tadić , Milica Gačić , Kristian Lewis , Lucia Miškulin Saletović , Velimir Piškorec ","


						Dativna alternacija u hrvatskome					

", ,Dubravko Kučanda ,SUVREMENA LINGVISTIKA
 ,"Ismail Palić, O glagolima koji vežu obvezatne adverbijalne dopune u bosanskome jeziku, Puni tekst (Hrvatski) Str. 201 - 217 (PDF)","

				O glagolima koji vežu obvezatne adverbijalne dopune u bosanskome jeziku			
", ,Adresa:Ivana Lučića 310000 ZagrebCroatia,SUVREMENA LINGVISTIKA
 ,Lucia Miškulin Saletović,"

				Warennamen - Marken - Kunstnamen. Transposition und Kreation in der Wirtschaft			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,"Azizollah Dabaghi, Marzieh Rafiee","

				Nenamjerno ovladavanje vokabularom i razvoj prijamnog i proizvodnog rječnika: kako funkcioniraju različiti tipovi glosa.			
", , ,SUVREMENA LINGVISTIKA
 ,Stjepan Babić ,"

				Zatvorenost i-sklonidbe u hrvatskome književnome jeziku			
", , ,SUVREMENA LINGVISTIKA
 ,Dubravka Sesar,"

				Priznanja našim slavljenicima – korifejima hrvatske frazeologije			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,"Vladimir Karabalić, , Sintaksa glagola nepotpunog značenja u hrvatskom i njemačkom jeziku na primjeru modalnih glagola, Puni tekst (Hrvatski) Str. 171 - 185 (PDF)","

				Sintaksa glagola nepotpunog značenja u hrvatskom i njemačkom jeziku na primjeru modalnih glagola			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Milica Gačić ,"

				Sampson, Geoffrey and Diana McCarthy. Corpus Linguistics: Readings in a Widening Discipline			
", , ,SUVREMENA LINGVISTIKA
 ,Ivana Franić,"

				Nazivlje iz Tesnièreove strukturalne sintakse			
", ,Adresa:Ivana Lučića 310000 ZagrebCroatia,SUVREMENA LINGVISTIKA
 ,"Vedran Galetić, Nasrtljivi crvendać u dvorištu: Formalna kvantifikacija razine prototipnosti u okviru prototipne semantičke teorije kognitivne lingvistike, Puni tekst (Hrvatski) (PDF)","

				Nasrtljivi crvendać u dvorištu: Formalna kvantifikacija razine prototipnosti u okviru prototipne semantičke teorije kognitivne lingvistike			
", , ,SUVREMENA LINGVISTIKA
 ,Réka Benczes,"

				From convergence to expansion – and back again Review of Brdar, Mario, Stefan Th. Gries and Milena Žic Fuchs (eds.). 2011. Cognitive Linguistics: Convergence and Expansion. Human Cognitive Processing 32.			
", ,"
                Week                90
",SUVREMENA LINGVISTIKA
 ,Ivan Marković,"

				Rezultativni sekundarni predikat u hrvatskome			
", ,predikatni proširak; rezultativ; instrumental; leksička kategorija; hrvatski jezik,SUVREMENA LINGVISTIKA
 ,Željka Fink,"

				Ruska leksikografska trilogija			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,Frits Beukema,"

				Interface Reflections			
", , ,SUVREMENA LINGVISTIKA
 ,Radoslav Katičić ,"

				Drugi jezici u povijesti hrvatskoga			
", , ,SUVREMENA LINGVISTIKA
 ,"Sanja Fulgosi , Nina Tuđman Vuković ","

				Relevantnost frekvencije jezične uporabe pri opisu strukture leksema			
", ,"Ovaj rad ispituje valjanost testova za određivanje prototipnih značenja polisemnih leksema koji uključuju jezične frekvencije i pretpostavljaju da najveća frekvencija uporabe odgovara središtu leksičke kategorije. Uz pomoć računalnog korpusa hrvatskoga jezika, Hrvatskoga nacionalnog korpusa (HNK) i metodologije korpusne lingvistike analiziraju se frekvencijski podaci za tri hrvatske imenice i uspoređuju s intuicijom izvornog govornika u određivanju prototipnog značenja istih leksema. Naglašava se da su razlozi postojanja prototipnosti u leksema kognitivne prirode te da postoje barem neke jezične kategorije u kojih frekvencija uporabe nije pokazatelj prototipnosti.",SUVREMENA LINGVISTIKA
 ,Anita Peti-Stantić,"

				Dunstan Brown, Marina Chumakina, Greville G. Corbett (ur.): Canonical Morphology and Syntax			
",2014,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,"Irena Zovko Dinković, Egzistencijalni glagoli u hrvatskome, Puni tekst (Hrvatski) Str. 279 - 294 (PDF)	","

				Egzistencijalni glagoli u hrvatskome			
", ,egzistencijalni glagoli; genitiv; negacija; hrvatski jezik,SUVREMENA LINGVISTIKA
 ,Ivana Vidović Bolt,"

				Joanna Szerszunowicz, Obraz człowieka w polskich, angielskich i włoskich leksykalnych i frazeologicznych jednostkach faunicznych – Slika čovjeka u poljskim, engleskim i talijanskim leksičkim i frazeološkim zoonimskim jedinicama			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Vesna Muhvić-Dimanovski ,"

				Apokopa i afereza u funkciji jezične ekonomije			
", , ,SUVREMENA LINGVISTIKA
 ,Dimka Saavedra,"

				Deagentivnost sintaktičkih konstrukcija u hrvatskome jeziku			
", ,"deagentivnost, funkcionalno–semantičko polje, pasiv, topikalizacija, hrvatski jezik",SUVREMENA LINGVISTIKA
 ,"Valeria Bandecchi, Mark. T. Keane","

				Leksička dekompozicija i razumijevanje glagola kretanja u talijanskom i engleskom jeziku			
", , ,SUVREMENA LINGVISTIKA
 ,Anđel Starčević,"

				Govorimo hrvatski ili ’hrvatski’: standardni dijalekt i  jezične ideologije u institucionalnom diskursu			
", ,Govorimo hrvatski serija je unaprijed snimljenih jezičnih savjeta koji se emitiraju na Prvome,SUVREMENA LINGVISTIKA
 ,Vedran Galetić,"

				Kognitivna plauzibilnost formalnih modela semantičkih reprezentacija			
", ,"Gärdenforsov model konceptualnih prostora veoma je razrađen semantički model orijentiran opisu strukture koncepata i kvalitativnih domena koje ih sačinjavaju. U ovomu se radu daje pregled tog i izbor drugih sličnih modela konceptualnih prostora te se naglašava nedostatnost njihove kognitivne plauzibilnosti uslijed zanemarivanja ili kognitivno nedosljednoga opisa korelacija svojstava.Postojanje i važnost korelacijskih učinaka u kategorizaciji i induktivnomu učenju potvrđeni su rezultatima mnogobrojnih empirijskih istraživanja temeljenih na kategorizacijskim i generalizacijskim procjenama ispitanika. Dakle, svaki kognitivno vjerodostojan model semantičkih reprezentacija mora uključivati fenomen kognitivnoga sustava koji se odnosi na automatiziranu detekciju strukturiranih korelacija svojstava. Ti se korelacijski učinci opisuju »teorijom teorijā« (engl. theory–theory), koja tvrdi da kognitivni sustav sadrži mikroteorije o konceptima, a te mu mikroteorije omogućavaju sposobnost automatiziranoga induktivnoga učenja kategorizacije prirodnih vrsta (engl. natural kinds) putem uočenih korelacija među njihovim svojstvima.U ovomu se radu tvrdi da su svojstva dobro strukturiranih, koherentnih koncepata uzročno povezana, a ta se povezanost modelira dubinskim, uzročno ishodišnim kvalitativnim dimenzijama. Kao budući rad spominje se istraživanje mogućnosti automatiziranog ili poluautomatiziranog crpljenja parametara predloženoga modela uporabom digitalnih jezičnih resursa kao što su ontologije, Wordnet, liste svojstava koncepata koje su generirali ispitanici temeljem osjetilnih iskustava, odnosno korpusi. Time bi se ostvarilo kombiniranje iskustvenih podataka s podatcima temeljenim na jezičnoj uporabi, što bi tako dobiveni model činilo vrijednim resursom, i za kognitivnu znanost i lingvistiku, kao i za računalnu obradu prirodnoga jezika s naglaskom na semantiku.",SUVREMENA LINGVISTIKA
 ,Franjo Janeš,"

				Jugendsprache. Eine Einführung			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,"Karolina Lice, Marijan Palmović, Ranko Matasović, Ivana Oraić Rabušić, Katja Dobrić Basaneže, Jurica Polančec, Dubravka Sesar, Petar Vuković, Krunoslav Puškar","


						Semantička kategorizacija u afatičnih bolesnika s narušenim jezičnim razumijevanjem: studija provedena uz pomoć metode mjerenja evociranih potencijala					

", ,"

 
			Opširnije:			Semantička kategorizacija u afatičnih bolesnika s narušenim jezičnim razumijevanjem: studija...		
",SUVREMENA LINGVISTIKA
 ,Ivana Franić ,"

				Relacija subjekt-predikat: strukturalna sintaksa i funkcionalizam			
", , ,SUVREMENA LINGVISTIKA
 ,"Dalibor Brozović , Marija Lütze-Miculinić , Gabrijela Buljan , Tanja Gradečak-Erdeljić , Ida Raffaelli , Anita Skelin Horvat , Matea Birtić , Mate Kapović, , Vesna Muhvić-Dimanovski, , Božo Bekavac, , Nina Tuđman Vuković, , Krešimir Šojat, Mislava Bertoša , Ivana Simeon, Anita Skelin Horvat , Ivana Jerolimov , Matea Birtić , Kristian Lewis , Mislava Bertoša , Barbara Štebih , Tanja Gradečak-Erdeljić","


						O dijalektologiji kao jezikoslovnoj disciplini					

", ,"

 
			Opširnije:			Njemački toponimi i njihove izvedenice u hrvatskome književnom jeziku na primjeru imena njemačkih...		
",SUVREMENA LINGVISTIKA
 ,Branimir Belaj,"

				Nominalizacija kao strategija pasivizacije			
", , ,SUVREMENA LINGVISTIKA
 ,Vladimir Karabalić ,"

				O konvencionalnosti izvanjezičnih formi izraza s pozicija teorije govornog čina			
", , ,SUVREMENA LINGVISTIKA
 ,August Kovačec,"

				Roman Jakobson, O jeziku			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,Anuška Štambuk,"

				Imenička sufiksalna tvorba u elektroničkom nazivlju			
", , ,SUVREMENA LINGVISTIKA
 ,Ivica Peša ,"

				Morfopragmatika na primjeru talijanskog i hrvatskog jezika			
", , ,SUVREMENA LINGVISTIKA
 ,"Marina Grubišić, Gitte Kristiansen i René Dirven (ur.): Cognitive Sociolinguistics: Language Variation, Cultural Models, Social Systems","

				Gitte Kristiansen i René Dirven (ur.): Cognitive Sociolinguistics: Language Variation, Cultural Models, Social Systems			
", ,Prikaz,SUVREMENA LINGVISTIKA
 ,Nikola Vuletić,"

				A. Q. Rodriguez, Geografia Linguistica del Judeoespanol			
", , ,SUVREMENA LINGVISTIKA
 ,Nina Tuđman Vuković,"

				Značenje u kognitivnoj lingvistici			
", , ,SUVREMENA LINGVISTIKA
 ,Žarko Muljačić ,"

				U potrazi za starijim hrvatskim pseudoarabizmima			
", , ,SUVREMENA LINGVISTIKA
 ,Vesna Deželjin,"

				Carlo Consani (urednik),Contatto interlinguistico fra presente e passato, LED Milano, 2015., 498 str.			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,Mira Mikačić ,"

				Primjena lingvistike u stvaranju umjetnih bibliotečnih jezika za označivanje sadržaja knjiga			
", , ,SUVREMENA LINGVISTIKA
 ,Nina Lanović ,"

				Prijedlog lingvističko-stilističkog pristupa analizi književnog (pjesničkog) teksta			
", , ,SUVREMENA LINGVISTIKA
 ,"Ivan Marković, Žarko Muljačić , Dubravka Sesar, Luka Vukojević, Petar Vuković, Vlasta Erdeljac , Vlasta Erdeljac , Željka Fink Arsovski, Željka Fink Arsovski , Branka Tafra ","


						Repeticija i reduplikacija u hrvatskome					

", ,"

 
			Opširnije:			U potrazi za starijim hrvatskim pseudoarabizmima		
",SUVREMENA LINGVISTIKA
 ,Lucia Miškulin Saletović,"

				9th Biennial Conference on Forensic Linguistics/Language and Law (IAFL09) - Amsterdam, 6. - 9- srpnja 2009.			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,Ivo Žanić,"

				Keith Langston, Anita Peti–Stantić, Language Planning and National Identity in Croatia			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,Ranko Matasović ,"

				Collectives in -ьje in Slavic			
", , ,SUVREMENA LINGVISTIKA
 ,,"

				Bibliografija znanstvenih, stručnih i uredničkih radova Milana Moguša (po godinama)			
", ,"Bibliografija znanstvenih, stručnih i uredničkih radova Milana Moguša (po godinama)",SUVREMENA LINGVISTIKA
 ,"Cintia Carrió, Nina Spicijarić Paškvan, Maja Opašić, Kristian Novak, Marina Grubišić, Višnja Josipović Smojver, Mateusz–Milan Stanojević, Sean M. Witty, Charles J. Pindziak, Virna Karlić, Mateusz-Milan Stanojević, Vedran Galetić, Vedran Galetić, Antonio Oštarić","


						Proces spajanja u glagolima kretanja: konstruiranje položaja i smjera u jeziku mocovi					

", ,Maja Opašić; Filozofski fakultet u Rijeci,SUVREMENA LINGVISTIKA
 ,Barbara Kerovec,"

				Zagrebački lingvistički krug, Izvješće o radu u ak. god. 2015./2016.			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,Sunil Kumar Bhatt ,"

				The concept of Completivity (Perfectivity) in Croatian verbal tenses: Perfect vs. Non-Perfect Tenses			
", , ,SUVREMENA LINGVISTIKA
 ,Branka Tafra,"

				Vladimir Anić, Naličje kalupa / Sabrani spisi, priredio Ivan Marković, Disput, Zagreb 2009, 724 str.			
", ,Adresa:Ivana Lučića 310000 ZagrebCroatia,SUVREMENA LINGVISTIKA
 ,Stefan Zimmer,"

				Notes on the Structure and Meaning of Some Slavic Nominal Compounds			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,Anita Skelin Horvat ,"

				Posuđivanje u hrvatski jezik u dvama razdobljima			
", ,"U radu se istražuju i uspore|uju karakteristike posuđivanja u hrvatski jezik u dvama vremenski odvojenim razdobljima. Kao temelj za korpus izabrane su dnevne novine objavljene između 1970. i 1975. godine te iste novine objavljene između 2000. i 2004. godine. Na temelju građe prikupljena su dva vremenski odvojena korpusa sastavljena od tuđica, posuđenica i prevedenica koja su se uspoređivala s obzirom na kategorije, potvrđenost i porijeklo tuđica, posuđenica i prevedenica. U ovom se članku korpusi analiziraju i uspoređuju s obzirom na porijeklo tuđica, posuđenica i prevedenica.",SUVREMENA LINGVISTIKA
 ,Velimir Piškorec,"

				Marija Turk: Jezično kalkiranje u teoriji i praksi. Prilog lingvistici jezičnih dodira. Zagreb / Rijeka: Hrvatska sveučilišna naklada / Filozofski fakultet Sveučilišta u Rijeci, 2013., 439 str.			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,"Ida Raffaelli , Mislava Bertoša","

				Rad Zagrebačkoga lingvističkog kruga			
", ,Adresa:Ivana Lučića 310000 ZagrebCroatia,SUVREMENA LINGVISTIKA
 ,Anita Skelin Horvat ,"

				Izlaganja na Zagrebačkome lingvističkom krugu 2005/2006			
", , ,SUVREMENA LINGVISTIKA
 ,Ljiljana Šarić,"

				Kognitivnolingvistička analiza glagolskog prefiksa na– u hrvatskome			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Aleksandra Ščukanec,"

				Heinz Vater: Einführung in die Zeit-Linguistik			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Žarko Muljačić ,"

				Sjaj i bijeda ""kladističkog"" modela (s posebnim osvrtom na sudbinu ""rodoslovnog stabla"" u romanistici)			
", , ,SUVREMENA LINGVISTIKA
 ,"Badurina-Stipčević , Marija-Ana Dürrigl , Milica Mihaljević , Barbara Kovačević , Mislava Bertoša , Vida Lučić , Milan Mihaljević , Pavao Tekavčić , Ljiljana Šarić , Ermina Harambašić , Marinka Šimić , Irena Drpić , Mateo Žagar , Marijana Horvat ","

				Obznane			
", ,Mislava Bertoša ,SUVREMENA LINGVISTIKA
 ,Miranda Levanat-Peričić ,"

				Holistički i semantički pristup aktivnoj rečeničnoj konstrukciji			
", , ,SUVREMENA LINGVISTIKA
 ,Stjepan Babić,"

				Normativna kolebanja u upotrebi glasova č i ć			
", , ,SUVREMENA LINGVISTIKA
 ,Dora Maček,"

				A Historical Grammar of the English Language			
", , ,SUVREMENA LINGVISTIKA
 ,"Maya Khemlani David, Caesar Dealwis","

				Čemu pomak? O Sabahu i Sarawaku			
", ,"U zapadnoj Maleziji većinu stanovništva čine tri rasne skupine: Malajci, Kinezi i Indijci, a njihovi su jezici u širokoj uporabi. Međutim, u istočnoj Maleziji postoje i mnoge druge etničke skupine. Njihove jezike i dijalekte ugrožavaju dominantni jezici koji su postali lingua franca u gradskim zajednicama Sabaha i Sarawaka. Ovaj članak daje pregled istraživanja domaćih i stranih istraživača o jezičnome pomaku i jezičnom održavanju u istočnoj Maleziji te razmatra razloge jezičnoga pomaka u manjinskim zajednicama.",SUVREMENA LINGVISTIKA
 ,Matea Birtić ,"

				Tvorba riječi u distribuiranoj morfologiji			
", , ,SUVREMENA LINGVISTIKA
 ,"Dragica Bukovčan, Milica Gačić","

				Osobitosti registra njemačkoga jezika kriminologije nasilničkoga kriminaliteta na leksičkoj, morfološkoj i sintaktičkoj razini			
", ,"Analiza njemačkog kao jezika struke kriminologije nasilničkog kriminaliteta zasniva se na korpusu teksta koji čine 21.784 riječi pojavnice i 6.042 riječi različnice. Riječi s frekvencijom > 3 pokrivaju 1.213 pojavnica, što je 20,07% njihova ukupnog broja, ali je pokrivenost analiziranog teksta 73,3%. Osim što je obavljena statistička leksička analiza teksta, posebno su analizirane njegove leksičke i morfološke odlike, pri čemu je posebno obra|eno atribuiranje imenskih dijelova rečenice, tvorba riječi s posebnim naglaskom na tvorbi složenih imenica i tumačenju njihova značenja, te rečenična razina s posebnim osvrtom na atributne rečenice. Prvih dvadeset najčešćih riječi Gewalt, Gewaltkriminalität, Opfer, Täter, Jahre, Straftaten, Familie, Jahren, Menschen, Frauen, Gruppen, Erpressung, Gesellschaft, jugendlichen, Zahl, vorsätzlichen, Art, Bundesrepublik, Kriminalität, Vergewaltigung, Delikte, läßt, Prozent, Raub, Verhalten, Kinder, lassen, letzten, Polizei, soziale mogu se smatrati ključnim riječima registra budući da definiraju njegov sadržaj. Cilj je članka ukazati na najvažnije osobitosti registra i poslužiti kao sredstvo koje pomaže djelotvornijem usvajanju tog registra kao jezika struke. Rad sadrži minimalni vokabular njemačkog jezika nasilničkoga kriminaliteta s oko 1.360 natuknica sa značenjima koja su izdvojena kontekstualnom analizom navedenog registra.",SUVREMENA LINGVISTIKA
