author,title,year,journal
Chinfa Lien,Grammaticalization of pat4 in Southern Min: A cognitive perspective,2007,LANGUAGE AND LINGUISTICS
Cheng-hui Liu,The functions of 矣 yi and its semantic extensions in Pre-Qin Chinese,2007,LANGUAGE AND LINGUISTICS
Chen-Sheng Luther Liu,The chameleon in the Chinese individual exceed comparative,2007,LANGUAGE AND LINGUISTICS
Jackson T.-S. Sun,The irrealis category in rGyalrong,2007,LANGUAGE AND LINGUISTICS
Feng Wang,On initial correspondences of Sino-Tibetan related words,2007,LANGUAGE AND LINGUISTICS
Ben Wai Hoo Au Yeung,Multiplication basis of emergence of classifiers,2007,LANGUAGE AND LINGUISTICS
Keith Dede,The origin of the anti-ergative [xa] in Huangshui Chinese,2007,LANGUAGE AND LINGUISTICS
Guillaume Jacques & Zhen Chen,An intransitive prefix in Japhug rGyalrong and related problems,2007,LANGUAGE AND LINGUISTICS
Tzu-Shan Ou,Suo relative clauses in Mandarin Chinese,2007,LANGUAGE AND LINGUISTICS
Reijirou Shibasaki,Ellipsis and discourse-syntactic structures in Japanese interview discourse: The emergence of the evidential marker to,2007,LANGUAGE AND LINGUISTICS
Chih-Chen Jane Tang,Modifier licensing and Chinese DP: A feature analysis,2007,LANGUAGE AND LINGUISTICS
Xiangdong Xing,Replacement and ellipsis: On the mode-auxiliarization of the function words in sentences in the Jin dialect,2007,LANGUAGE AND LINGUISTICS
Zhongru Xiong,Analyses of the syntactic structure of comparative sentences in Modern Chinese and its dialects,2007,LANGUAGE AND LINGUISTICS
,Editorial note,2008,LANGUAGE AND LINGUISTICS
Kawai Chui,Complementary gestures and information types,2008,LANGUAGE AND LINGUISTICS
Chun-chieh Natalie Hsu,Revisit relative clause islands in Chinese,2008,LANGUAGE AND LINGUISTICS
Su-miao Huang & Shelley Ching-yu Hsieh,Grammaticalization of directional complements in Mandarin Chinese,2008,LANGUAGE AND LINGUISTICS
Chen-Sheng Luther Liu,The light verb lai in the Chinese comparative correlative,2008,LANGUAGE AND LINGUISTICS
Joanna Ut-seong Sio,The encoding of referential properties in the Chinese nominal,2008,LANGUAGE AND LINGUISTICS
Lian-Hee Wee,Opacity from constituency,2008,LANGUAGE AND LINGUISTICS
Sau-chin Chen,Nature of consistency effect in naming non-phonetic phonograms,2008,LANGUAGE AND LINGUISTICS
Chia-Ying Lee,Rethinking of the regularity and consistency effects in reading,2008,LANGUAGE AND LINGUISTICS
Feng-Ju Lo & Wei-Cheng Tsao,A study of leading words in the lyrics of Tang and Song Dynasties,2008,LANGUAGE AND LINGUISTICS
Jia-Fei Hong & Chu-Ren Huang,A corpus-based approach to the discovery of cross-strait lexical contrasts,2008,LANGUAGE AND LINGUISTICS
Mei-chun Liu & Ting-yi Chiang,The construction of Mandarin VerbNet: A frame-based study of statement verbs,2008,LANGUAGE AND LINGUISTICS
Chiharu Furukawa,Relationship of the Chinese coverb li and the Japanese postpositional particles kara and made,2008,LANGUAGE AND LINGUISTICS
Hsin-I Hsieh,Composition as a source of construction: Some principles for pruning compositions into constructions,2008,LANGUAGE AND LINGUISTICS
Chao-Jan Chen,Gestaltist semantic compositionality in Chinese V-V compounds,2008,LANGUAGE AND LINGUISTICS
Louis Wei-lun Lu, From textual prompts to cognitive models: A context-oriented perspective on metaphor interpretation in Taiwanese presidential speeches,2008,LANGUAGE AND LINGUISTICS
Shiwen Yu & Xuefeng Zhu & Huiming Duan & Yunfang Wu & Yang Liu,Research on Chinese lexical semantic and the construction of lexical knowledge base,2008,LANGUAGE AND LINGUISTICS
Yangsen Zhang & Yunfang Wu & Shiwen Yu,Study on word sense expressing methods and their calculability,2008,LANGUAGE AND LINGUISTICS
Shu-Ling Huang & Yueh-Yin Shih & Keh-Jiann Chen,Knowledge representation for comparative constructions in Extended-HowNet,2008,LANGUAGE AND LINGUISTICS
Siaw-Fong Chung &  Kathleen Ahrens,MARVS revisited: Incorporating sense distribution and mutual information into near-synonym analyses,2008,LANGUAGE AND LINGUISTICS
Wenxi Ye & Likun Qiu,Computing the degree of difficulty in understanding Chinese compounds,2008,LANGUAGE AND LINGUISTICS
Xia Wang,Semantic role labeling in Chinese using HowNet,2008,LANGUAGE AND LINGUISTICS
Jonathan P. Evans,'African' tone in the Sinosphere,2008,LANGUAGE AND LINGUISTICS
Lillian M. Huang & Tali' Hayung,Syntax and Semantics of p- in Squliq Atayal,2008,LANGUAGE AND LINGUISTICS
Paul Jen-kuei Li,The great diversity of Formosan languages,2008,LANGUAGE AND LINGUISTICS
Chiew-Pheng Phua,Direct and indirect objects in Archaic Chinese: A cognitive lingistics perspective,2008,LANGUAGE AND LINGUISTICS
Yi-ching Su,Structure and context effects in scope ambiguity resolution,2008,LANGUAGE AND LINGUISTICS
Feng-fu Tsao & Hsiu-Hsueh Liu,Correspondence of form and meaning in the grammaticalization of Min diminutives,2008,LANGUAGE AND LINGUISTICS
Chiu-yu Tseng,Corpus phonetic investigations of discourse prosody and higher level information,2008,LANGUAGE AND LINGUISTICS
Henry Y. Chang, Preface,2008,LANGUAGE AND LINGUISTICS
Bernard Comrie,Prenominal relative clauses in verb-object languages,2008,LANGUAGE AND LINGUISTICS
Chenglong Huang,Relativization in Qiang,2008,LANGUAGE AND LINGUISTICS
Edward L. Keenan,Relative clauses are phrase structural in Malagasy,2008,LANGUAGE AND LINGUISTICS
Randy J. LaPolla,Relative clause structures in the Rawang language,2008,LANGUAGE AND LINGUISTICS
Chien-Jer Charles Lin,The processing foundation of head-final relative clauses,2008,LANGUAGE AND LINGUISTICS
Jo-wang Lin,The order of stage-level and individual-level relatives and superiority effects,2008,LANGUAGE AND LINGUISTICS
Masayoshi Shibatani,"Relativization in Sasak and Sumbawa, Eastern Indonesia",2008,LANGUAGE AND LINGUISTICS
Chih-Chen Jane Tang,Functional extension vs. grammaticalization: A typological study of modification markers in Formosan nominals,2008,LANGUAGE AND LINGUISTICS
Wei-Tien Dylan Tsai,On relativizing adverbials,2008,LANGUAGE AND LINGUISTICS
Shixuan Xu,Relative clauses in Tujia,2008,LANGUAGE AND LINGUISTICS
Niina Zhang,Gapless relative clauses as clausal licencors of relational nouns,2008,LANGUAGE AND LINGUISTICS
Zev Handel,Reflections on the historical origin of the Northern Min 'softened initials',2009,LANGUAGE AND LINGUISTICS
Guillaume Jacques,The origin of vowel alternations in the Tangut verb,2009,LANGUAGE AND LINGUISTICS
Zhuo Jing-Schmidt & Hongyin Tao,The Mandarin disposal constructions: Usage and development,2009,LANGUAGE AND LINGUISTICS
Bit-Chee Kwok,An example of contact-induced grammaticalization—The origins and division of labor of three complement markers in the She language,2009,LANGUAGE AND LINGUISTICS
Ying-chin Lin,"Assumptions regarding the Tangut people's cognitive concepts based on Chinese-Tangut translation texts: On Tangut tshj1  ljwu1 , in Liu-Tao",2009,LANGUAGE AND LINGUISTICS
Hai-Yong Liu,The acquisition of Mandarin aspects and modals: Evidence from the acquisition of negation,2009,LANGUAGE AND LINGUISTICS
Ying-chin Lin,On Tangut wj1 as not referring to the substantial noun “Buddha”,2009,LANGUAGE AND LINGUISTICS
Nathan W. Hill,"Review of Handbook of Proto-Tibeto-Burman: System and Philosophy of Sino-Tibetan Reconstruction. By James A. Matisoff. Berkeley: University of California Press, 2003.",2009,LANGUAGE AND LINGUISTICS
Min-hua Chiang,"Review of A Synchronic and Diachronic Study of the Grammar of the Chinese Xiang Dialects. By Yunji Wu. Berlin: Mouton de Gruyter, 2005.",2009,LANGUAGE AND LINGUISTICS
Rui-wen Wu,On the final *y in Proto-Min and relevant problems,2009,LANGUAGE AND LINGUISTICS
Hiroyuki Akitani & Xiangdong Xing,A review of the synonyms “門檻” and “拿” and their pronunciations in the Jin and Fenhe dialects of Zhongyuan Mandarin,2009,LANGUAGE AND LINGUISTICS
Carine Yuk-man Yiu,A preliminary study on the change of rising tones in Hong Kong Cantonese: An experimental study,2009,LANGUAGE AND LINGUISTICS
Peppina P. L. Lee & Lei Zhang & Haihua Pan,The distributive operator ge and some related issues,2009,LANGUAGE AND LINGUISTICS
Ting-Chi Wei,Wh-interrogatives in Amis,2009,LANGUAGE AND LINGUISTICS
One-Soon Her,Language and group identity: On Taiwan Mainlanders' mother tongues and Taiwan Mandarin,2009,LANGUAGE AND LINGUISTICS
One-Soon Her,Unifying the long passive and the short passive: On the bei construction in Taiwan Mandarin,2009,LANGUAGE AND LINGUISTICS
Hui-chi Lee,On the object marker BUE in Hainan Min,2009,LANGUAGE AND LINGUISTICS
Yeu-Ting Liu,Attainability of a native-like lexical processing system in adult second language acquisition: A study of advanced L2 Chinese learners,2009,LANGUAGE AND LINGUISTICS
Hiroyuki Suzuki & Tshering mTshomo,Preliminary analysis of the phonological history of Melung Tibetan,2009,LANGUAGE AND LINGUISTICS
Katia Chirkova & Alexis Michaud,Approaching the prosodic system of Shixing,2009,LANGUAGE AND LINGUISTICS
Amy Pei-jung Lee,Dorsal consonant harmony in Truku Seediq,2009,LANGUAGE AND LINGUISTICS
Chun-Mei Chen,The phonetics of Paiwan word-level prosody,2009,LANGUAGE AND LINGUISTICS
Chih-Chen Jane Tang & Elizabeth Zeitoun,Preface,2009,LANGUAGE AND LINGUISTICS
Toru Ishii,On PF-LF mismatch in the Japanese light verb construction,2009,LANGUAGE AND LINGUISTICS
Diane Massam,"On the separation and relatedness of classifiers, number, and individuation in Niuean",2009,LANGUAGE AND LINGUISTICS
Theresa Biberauer & Glenda Newton & Michelle Sheehan,Limiting synchronic and diachronic variation and change: The final-over-final constraint,2009,LANGUAGE AND LINGUISTICS
Chinfa Lien,The focus marker si7 是 and lexicalization of si7 mih8 是乜 into what wh-words in Earlier Southern Min texts,2009,LANGUAGE AND LINGUISTICS
Chiew-Pheng Phua,The yu-dative construction “V+yu+IO” in Archaic Chinese: A cognitive typological perspective,2009,LANGUAGE AND LINGUISTICS
Stacy Fang-ching Teng,Case syncretism in Puyuma,2009,LANGUAGE AND LINGUISTICS
H. Samuel Wang & H.-C. Joyce Liu,The morphologization of liaison consonants in Taiwan Min and Taiwan Hakka,2010,LANGUAGE AND LINGUISTICS
Lian-Hee Wee,A percolative account of Tianjin tone sandhi,2010,LANGUAGE AND LINGUISTICS
Jiun-Shiung Wu,Interactions between aspects and temporal relations: A case study of the perfective le,2010,LANGUAGE AND LINGUISTICS
Amy Pei-jung Lee,Reduplication and odor in four Formosan languages,2010,LANGUAGE AND LINGUISTICS
Guillaume Jacques,The inverse in Japhug Rgyalrong,2010,LANGUAGE AND LINGUISTICS
Li-Ying Fan & Shu-Hui Lee & Tai-Li Chou,Interaction between brain regions during semantic processing in Chinese adults,2010,LANGUAGE AND LINGUISTICS
Chiu-yu Tseng,An F0 analysis of discourse construction and global information in realized narrative prosody,2010,LANGUAGE AND LINGUISTICS
Raung-fu Chung,Retroflexed fricatives in Dongshi Hakka of Taiwan,2010,LANGUAGE AND LINGUISTICS
Chenglong Huang,Agentive and other markings in Qiang,2010,LANGUAGE AND LINGUISTICS
Rui-wen Wu,Development and strata analysis of Geng She unrounded cognates in Proto-Min,2010,LANGUAGE AND LINGUISTICS
Pei-chuan Wei,The history of the interrogative structure shi fou-V(N)P,2010,LANGUAGE AND LINGUISTICS
Cheng-hui Liu,On the role of coordinative compounding in Chinese: A case study of the grammatical marker liao-ye and other related coordinative markers in classical Chinese,2010,LANGUAGE AND LINGUISTICS
Shu-chuan Chen,"New sound variation in Taiwan Southern Min: Vowel systems and the lower register entering tone in Taipei, Changhua, and Tainan",2010,LANGUAGE AND LINGUISTICS
Shu-Chuan Tseng,Directional complements in Taiwan Mandarin natural speech,2010,LANGUAGE AND LINGUISTICS
Hui-chi Lee,Taiwan Southern Min denominal verbs,2010,LANGUAGE AND LINGUISTICS
One-Soon Her & Chen-Tien Hsieh,On the semantic distinction between classifiers and measure words in Chinese,2010,LANGUAGE AND LINGUISTICS
Siaw-Fong Chung,Numeral classifier buah in Malay: A corpus-based study,2010,LANGUAGE AND LINGUISTICS
Matthias Gerner & Walter Bisang,Classifier declinations in an isolating language: On a rarity in Weining Ahmao,2010,LANGUAGE AND LINGUISTICS
Jong-Bok Kim & Peter Sells,On the role of the eventuality in case assignment on adjuncts,2010,LANGUAGE AND LINGUISTICS
Huili Zhang,Active articulator model and some issues with the International Phonetic Alphabet,2010,LANGUAGE AND LINGUISTICS
Hui-shan Lin,Disyllabic verbal reduplication in Pazih—Leftward or rightward?,2010,LANGUAGE AND LINGUISTICS
Guowen Shang,Cognitive and pragmatic explanations for quantitative negation,2010,LANGUAGE AND LINGUISTICS
Marie-Claude Paris & Marie-Thérèse Vinet,"Approximative zuǒyòu  'around, about' in Chinese",2010,LANGUAGE AND LINGUISTICS
Li-li Chang,Directionals expressing the notion of “return” as adjuncts—A study of grammaticalization from the perspective of semantic frame,2010,LANGUAGE AND LINGUISTICS
Elizabeth Zeitoun & Stacy Fang-ching Teng & Raleigh Ferrell,Reconstruction of '2' in PAN and related issues,2010,LANGUAGE AND LINGUISTICS
Stacy Fang-ching Teng,Preface,2011,LANGUAGE AND LINGUISTICS
Lillian M. Huang & Tali' Hayung,Coordination and comitativity in Squliq Atayal,2011,LANGUAGE AND LINGUISTICS
Amy Pei-jung Lee,Comitative and coordinate constructions in Truku Seediq,2011,LANGUAGE AND LINGUISTICS
Elizabeth Zeitoun & Tai-hwa Chu & Lalo a Tahesh Kaybaybaw,Ki as a marker of coordination and comitativity in Saisiyat,2011,LANGUAGE AND LINGUISTICS
Joy Wu,Noun phrase conjunction in Amis,2011,LANGUAGE AND LINGUISTICS
Chih-Chen Jane Tang,Comitative vs. conjunctive constructions in Paiwan,2011,LANGUAGE AND LINGUISTICS
Stacy Fang-ching Teng,Noun phrase conjunction in three Puyuma dialects,2011,LANGUAGE AND LINGUISTICS
Hsiu-chuan Liao,On the development of comitative verbs in Philippine languages,2011,LANGUAGE AND LINGUISTICS
Isabelle Bril,"AND and WITH conjunctive strategies in some Austronesian languages: Syntax, semantics, pragmatics",2011,LANGUAGE AND LINGUISTICS
Janice Fon & Jui-mei Hung & Yi-Hsuan Huang & Hui-ju Hsu,Dialectal variations on syllable-final nasal mergers in Taiwan Mandarin,2011,LANGUAGE AND LINGUISTICS
Hui-shan Lin,Sequential and tonal markedness in Dongshi Hakka tone sandhi,2011,LANGUAGE AND LINGUISTICS
Guillaume Jacques,Tonal alternations in the Pumi verbal system,2011,LANGUAGE AND LINGUISTICS
Javier Martín Arista,Projections and constructions in functional morphology: The case of Old English HRĒOW,2011,LANGUAGE AND LINGUISTICS
Chinfa Lien,Development of directionals in Southern Min,2011,LANGUAGE AND LINGUISTICS
Hiroyuki Suzuki,Pharyngealised vowels in Gagatang Tibetan and their origin,2011,LANGUAGE AND LINGUISTICS
Hui-chi Lee,Double object construction in Hainan Min,2011,LANGUAGE AND LINGUISTICS
Andy C. Chin,Grammaticalization of the Cantonese double object verb [pei35] 畀 in typological and areal perspectives,2011,LANGUAGE AND LINGUISTICS
Xiangdong Xing,Directional verbs and their grammaticalization in the Shenmu dialect of Shaanxi,2011,LANGUAGE AND LINGUISTICS
Rui-wen Wu,The origin and development of the 'progressive/durative' aspectual markers in the Eastern Min dialects,2011,LANGUAGE AND LINGUISTICS
Yeu-Ting Liu,Focus on form as a pedagogical framework for fostering a native-like Mandarin tonal identification system,2011,LANGUAGE AND LINGUISTICS
Tuyuan Cheng & Hintat Cheung & Jei-Tun Wu,Spoken relative clause processing in Chinese: Measure from an alternative task,2011,LANGUAGE AND LINGUISTICS
Nathan W. Hill,[Squib] Multiple origins of Tibetan o,2011,LANGUAGE AND LINGUISTICS
Chinfa Lien,Interface of modality and the tit4 得 constructions in Southern Min: A case study of their developments from Earlier Southern Min in the Ming and Qing to Modern Taiwanese Southern Min,2011,LANGUAGE AND LINGUISTICS
Qiong-peng Luo & Stephen Crain,Do Chinese wh-conditionals have relatives in other languages?,2011,LANGUAGE AND LINGUISTICS
Henry Y. Chang,Triadic encoding in Tsou,2011,LANGUAGE AND LINGUISTICS
Hsiu-chuan Liao,Some morphosyntactic differences between Formosan and Philippine languages,2011,LANGUAGE AND LINGUISTICS
Sheng-hsiu Chiu & Wen-yu Chiang,FIGHT metaphors in legal discourse: What is unsaid in the story?,2011,LANGUAGE AND LINGUISTICS
Yuan-shan Chen & D. Victoria Rau,Investigating the complimenting behaviors of Chinese speakers of American English,2011,LANGUAGE AND LINGUISTICS
Chih-Chen Jane Tang,Foreword,2012,LANGUAGE AND LINGUISTICS
Tsu-Lin Mei,The causative *s- and nominalizing *-s in Old Chinese and related matters in Proto-Sino-Tibetan,2012,LANGUAGE AND LINGUISTICS
Laurent Sagart & William H. Baxter,Reconstructing the *s- prefix in Old Chinese,2012,LANGUAGE AND LINGUISTICS
Zev Handel,Valence-changing prefixes and voicing alternation in Old Chinese and Proto-Sino-Tibetan: Reconstructing *s- and *N- prefixes*,2012,LANGUAGE AND LINGUISTICS
Guillaume Jacques,Agreement morphology: The case of Rgyalrongic and Kiranti,2012,LANGUAGE AND LINGUISTICS
Randy J. LaPolla,Comments on methodology and evidence in Sino-Tibetan comparative linguistics,2012,LANGUAGE AND LINGUISTICS
Katia Chirkova,The Qiangic subgroup from an areal perspective: A case study of languages of Muli,2012,LANGUAGE AND LINGUISTICS
David Bradley,The characteristics of the Burmic family of Tibeto-Burman,2012,LANGUAGE AND LINGUISTICS
Alexander R. Coupe,Overcounting numeral systems and their relevance to sub-grouping in the Tibeto-Burman languages of Nagaland,2012,LANGUAGE AND LINGUISTICS
Feng-fu Tsao & Yen-ling Chen,Diminutive-induced sound changes in the Huì Yīn Miào Wù,2012,LANGUAGE AND LINGUISTICS
Cheng-hui Liu,The changes of lai in the frame of constructions from Pre-Qin to Medieval Chinese,2012,LANGUAGE AND LINGUISTICS
Bit-Chee Kwok & Huayong Lin,The origin and development of the post-verbal ,2012,LANGUAGE AND LINGUISTICS
Shin Chong & Remmy anak Gedat,An introduction to the Austronesian languages in Western Borneo,2012,LANGUAGE AND LINGUISTICS
Jiun-Shiung Wu & Jenny Yi-Chun Kuo,"Benlai as a relative past marker—Contrastive semantics, anchor time and discontinuity reading",2012,LANGUAGE AND LINGUISTICS
Hsin-fu Chiu,Méiyǒu-/búshì- ('no-') prefaced turns in talk show interaction—Constitutive elements of entertainment broadcasts in Taiwan,2012,LANGUAGE AND LINGUISTICS
James Myers,Testing adjunct and conjunct island constraints in Chinese,2012,LANGUAGE AND LINGUISTICS
Jackson T.-S. Sun,Complementation in Caodeng rGyalrong,2012,LANGUAGE AND LINGUISTICS
Aireen L. Barrios & Allan B. I. Bernardo,The acquisition of case marking by L1 Chabacano and L1 Cebuano Learners of L2 Filipino: Influence of actancy structure on transfer,2012,LANGUAGE AND LINGUISTICS
Sheng-hsiu Chiu & Wen-yu Chiang,Representations of the name rectification movement of Taiwan indigenous people: Through whose historical lens?,2012,LANGUAGE AND LINGUISTICS
Niina Ning Zhang,[Discussion note] De and the functional expansion of classifiers,2012,LANGUAGE AND LINGUISTICS
Feng-fan Hsieh,"Low vowel raising in Sinitic languages: Assimilation, reduction, or both?",2012,LANGUAGE AND LINGUISTICS
You-Jing Lin,By no means marginal: Privative tone in Zhuokeji Rgyalrong,2012,LANGUAGE AND LINGUISTICS
Chih-hsiang Shu,Towards a morphosyntactic analysis of Mandarin mood/aspect marker ge,2012,LANGUAGE AND LINGUISTICS
XuPing Li & Susan Rothstein,Measure readings of Mandarin classifier phrases and the particle de,2012,LANGUAGE AND LINGUISTICS
Huei-Ling Lin,A non-uniform analysis of ka7 constructions in Taiwan Southern Min,2012,LANGUAGE AND LINGUISTICS
Hsi-Yao Su,The social implications of syllable-final nasal mergers in Taiwan Mandarin: A variation study,2012,LANGUAGE AND LINGUISTICS
Matthias Gerner,The typology of nominalization,2012,LANGUAGE AND LINGUISTICS
Aijun Huang,Insignificance is significant: Interpretation of the wh-pronoun shenme 'what' in Mandarin Chinese,2013,LANGUAGE AND LINGUISTICS
Meichun Liu & Chia-yin Hu,Free alternation? A study on grammatical packaging of excessive predication in Mandarin Chinese,2013,LANGUAGE AND LINGUISTICS
Winnie Chor,"From 'direction' to 'positive evaluation': On the grammaticalization, subjectification and intersubjectification of faan1 'return' in Cantonese",2013,LANGUAGE AND LINGUISTICS
Maya Yuting Yeh & Shuanfan Huang,Hya'and stance marking in Atayal,2013,LANGUAGE AND LINGUISTICS
Matthias Gerner,Yi future: Tense or evidential?,2013,LANGUAGE AND LINGUISTICS
Nathan W. Hill,Relative ordering of Tibetan sound changes affecting laterals,2013,LANGUAGE AND LINGUISTICS
Rui-wen Wu,Preface,2013,LANGUAGE AND LINGUISTICS
Chinfa Lien,Negative patterns of modals in Taiwanese Southern Min,2013,LANGUAGE AND LINGUISTICS
Rui-wen Wu,On the grammatical functions and grammaticalization of  the5 in the Sanming dialect,2013,LANGUAGE AND LINGUISTICS
Hsiu-Hsueh Liu,Neutral questions in Quanzhou-accented Southern Min,2013,LANGUAGE AND LINGUISTICS
Uijin Ang,The distribution and regionalization of varieties in Taiwan,2013,LANGUAGE AND LINGUISTICS
Shu-chuan Chen,The sound variation and change of Shezi dialect in Taipei City,2013,LANGUAGE AND LINGUISTICS
Chia-lun Tu,The diachronic strata analysis of the traditional voiced initials in Min,2013,LANGUAGE AND LINGUISTICS
Feng-fu Tsao,A linguistic and sociolinguistic study of the emerging general Minnan,2013,LANGUAGE AND LINGUISTICS
Sharifah Raihan Syed Jaafar,Edge integrity in Malay multiple prefixes,2013,LANGUAGE AND LINGUISTICS
Carine Yuk-man Yiu,Directional verbs in Cantonese: A typological and historical study,2013,LANGUAGE AND LINGUISTICS
Hsiao-hung Iris Wu,Verb initial order as predicate fronting in Isbukun Bunun,2013,LANGUAGE AND LINGUISTICS
Yi Esther Su & Stephen Crain,Children's knowledge of disjunction and universal quantification in Mandarin Chinese,2013,LANGUAGE AND LINGUISTICS
Chinfa Lien,'Why' and 'how' wh-words in earlier Southern Min texts: Interface of inherent properties of 'why/how' wh-words and their syntactic positions,2013,LANGUAGE AND LINGUISTICS
Jeeyoung Peck & Jingxia Lin & Chaofen Su,Aspectual classification of Mandarin Chinese verbs: A perspective of scale structure,2013,LANGUAGE AND LINGUISTICS
Shu-ing Shyu & Yu-Fang Wang & Zhi-jie Lin,An approximation to secondary predication structure: A case of v-qilai in Mandarin Chinese,2013,LANGUAGE AND LINGUISTICS
Yafei Li & Jen Ting,Is UG like a chunk of Swiss cheese? Evidence for a  ,2013,LANGUAGE AND LINGUISTICS
Fangqiong Zhan & Chaofen Sun,A copula analysis of shì in the Chinese cleft construction,2013,LANGUAGE AND LINGUISTICS
Chih-Chen Jane Tang,[Announcement] Language and Linguistics new editorial policy ,2013,LANGUAGE AND LINGUISTICS
Chiu-yu Tseng,Dedication,2014,LANGUAGE AND LINGUISTICS
Henry Y. Chang,Preface,2014,LANGUAGE AND LINGUISTICS
Mark C. Baker,Pseudo noun incorporation as covert noun incorporation: Linearization and crosslinguistic variation,2014,LANGUAGE AND LINGUISTICS
Veneeta Dayal,Bangla plural classifiers,2014,LANGUAGE AND LINGUISTICS
Yafei Li,Placing Chinese morphemes in a coordinate system: Reflecting on the scientific nature of linguistic theorization,2014,LANGUAGE AND LINGUISTICS
Anna Szabolcsi & James Doh Whang & Vera Zu,Quantifier words and their multi-functional(?) parts,2014,LANGUAGE AND LINGUISTICS
Te-Fen Ou,A cognitive study of the senses of the Chinese polysemous verb 'kan',2014,LANGUAGE AND LINGUISTICS
Zuoyan Song,A comparative study of event coercion between Chinese and English,2014,LANGUAGE AND LINGUISTICS
Changsong Wang,Looking at passives sentences through zhe ben shu de chuban,2014,LANGUAGE AND LINGUISTICS
Saina Wuyun & Haihua Pan,A study on the influence of Chinese passives on center transitions in discourse,2014,LANGUAGE AND LINGUISTICS
Yen-Hui Audrey Li,[Featured article] Thematic hierarchy and derivational economy,2014,LANGUAGE AND LINGUISTICS
Ming-chung Cheng & Kuo-chih Chang,Tones in Hakka infant-directed speech: An acoustic perspective,2014,LANGUAGE AND LINGUISTICS
Ching-fen Hsu,Semantic-based mental representation of Chinese counterfactuals: Evidence from a psycholinguistic study of yaobushi,2014,LANGUAGE AND LINGUISTICS
Yi-hsiu Lai,Discourse features of Chinese-speaking seniors with and without Alzheimer's disease,2014,LANGUAGE AND LINGUISTICS
Yi Xu,Evidence of the accessibility hierarchy in relative clauses in Chinese as a second language,2014,LANGUAGE AND LINGUISTICS
Paul Jen-kuei Li,[Featured article] Semantic Shift and Variation in Formosan Languages,2014,LANGUAGE AND LINGUISTICS
Weifeng Han、Dingxu Shi,The Evolution of hi^(23)kã^(34) ('he says') in Shanghainese,2014,LANGUAGE AND LINGUISTICS
Chinfa Lien,The Development of Southern Min Demonstratives + Type Classifier/Quantifier Construction in Late Ming and Early Qing Texts: From Demonstratives to Intensifiers,2014,LANGUAGE AND LINGUISTICS
Zhiguo Xie,Where is the Standard? An Analysis of Size Adjectives as Degree Modifiers at the Semantic-Pragmatic Interface,2014,LANGUAGE AND LINGUISTICS
Carine Yuk-man Yiu,Typology of Word Order in Chinese Dialects: Revisiting the Classification of Min,2014,LANGUAGE AND LINGUISTICS
Huibin Zhuang,The Prosodic History of Chinese Resultatives,2014,LANGUAGE AND LINGUISTICS
Danjie Su,"[Book Reviews] Request Strategies: A Comparative Study in Mandarin Chinese and Korean. By Yong-Ju Rue and Grace Qiao Zhang. (Pragmatics & Beyond 177.) Amsterdam, The Netherlands; Philadelphia, PA: John Benjamins, 2008",2014,LANGUAGE AND LINGUISTICS
Huei-Ling Lai & Shu-Chuan Tseng,[Preface] Language and Computation: A Synergy,2015,LANGUAGE AND LINGUISTICS
Jae-Il Yeom,Global approach to scalar implicatures in DRT,2015,LANGUAGE AND LINGUISTICS
 Kingkarn Thepkanjana & Satoshi Uehara, Effects of constituent orders on functional extension patterns of the verbs for 'give': A contrastive study of Thai and Mandarin Chinese,2015,LANGUAGE AND LINGUISTICS
Laurent Prévot & Shu-Chuan Tseng & Klim Peshkov & Alvin Cheng-Hsien Chen,Processing units in conversation: A comparative study of French and Mandarin data,2015,LANGUAGE AND LINGUISTICS
Stefan Th. Gries,Some current quantitative problems in corpus linguistics and a sketch of some solutions,2015,LANGUAGE AND LINGUISTICS
Tsu-Lin Mei,"[Featured article] The “Wu Dialect” of Southern Dynasties and the origin of Modern Min; Plus an exegesis of Yan Zhitui’s Dictum, “The South is tainted by Wu and Yue features, and the North is intermixed with barbaric tongues of Yi and Lu”",2015,LANGUAGE AND LINGUISTICS
Li-li Chang,"The formation of the temporal adverbs ji, bian, and jiu",2015,LANGUAGE AND LINGUISTICS
Chinfa Lien,Polyfunctionality of bo5 in Modern Southern Min: A case of its interpretation in tandem with hierarchical positions,2015,LANGUAGE AND LINGUISTICS
Jin-hui Wang,A study of the formation of time adverbs zai and zhengzai,2015,LANGUAGE AND LINGUISTICS
Pei-chuan Wei,The word order and development of the aspectual markers in Old Chinese,2015,LANGUAGE AND LINGUISTICS
Hsuehju Wu,A re-investigation of the future marker jiang in Old Chinese,2015,LANGUAGE AND LINGUISTICS
Malcolm Ross,[Featured article] Reconstructing Proto Austronesian verb classes,2015,LANGUAGE AND LINGUISTICS
Fernando Orphão de Carvalho,Syllable structure and hiatus resolution in Squliq Atayal,2015,LANGUAGE AND LINGUISTICS
Huei-ling Lai,Profiling Hakka bun1 causative constructions,2015,LANGUAGE AND LINGUISTICS
Jeesun Nam,An empirical study of Korean adjectival predicates that license double nominative constructions,2015,LANGUAGE AND LINGUISTICS
Mark W. Post,Sino-Tibetan negation and the case of Galo: Explaining a distributional oddity in diachronic terms,2015,LANGUAGE AND LINGUISTICS
Wei Wang,The semantic map of the spatial domain and related functions,2015,LANGUAGE AND LINGUISTICS
Li-May Sung & Chia-Ying Lee,Preface,2015,LANGUAGE AND LINGUISTICS
